Barrier ID,Site Name,Watershed Name ,Structure Type,Assessment Step Completed,Next Step,Reason,Notes ,Supporting Links
199148,Colley Creek @ Blue FSR (BR-027),Bonaparte River,Stream crossing - CBS,Barrier assessment,Engage with barrier owner,Industry barrier. West Fraser tenure. Rainbow Trout in stream summary report.,Big dent in upstream side of culvert,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200468
199132,Hat Creek @ Blue Rd (BR-014),Bonaparte River,Stream crossing - CBS,Barrier assessment,Engage with barrier owner,No mapped road but appears to be West Fraser tenure.,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200452
199143,Trib to Hat Cr @ Blue FSR spur rd (BR-017),Bonaparte River,Stream crossing - CBS,Barrier assessment,Engage with barrier owner,Industry barrier. West Fraser tenure.  ,,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=200463
